package,label,source,pyscan_malicious,guarddog_malicious,guarddog_threat_rules
safepackage-1337.0.3.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-runtime-system-info
iou3d-2.1.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo
pycord-slash-0.0.8.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-runtime-obfuscation-import-exec
request-plus-2.31.0.tar.gz,malicious,malregistry,True,True,threat-filesystem-read;threat-process-download-exec;threat-process-hooks;threat-runtime-obfuscation-base64exec
pygennor-0.1.0.tar.gz,malicious,malregistry,False,True,threat-filesystem-read;threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links;threat-setup-network-in-install;threat-setup-suspicious-imports
pycolorlibaryv1-1.0.0-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-filesystem-read;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-cryptomining;threat-process-download-exec;threat-runtime-keylogging;threat-runtime-screencapture
tppywproofcpu-7.81.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tpsuperosintmask-10.59.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
slana-0.1.tar.gz,malicious,malregistry,True,False,
pypackscraper-1.0.5.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation;threat-runtime-obfuscation-base64exec;threat-runtime-obfuscation-chr
beatuifulsoup-0.1.tar.gz,malicious,malregistry,True,False,
selfpywkillgui-4.33,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
getgame-2.65.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
shoots_flutter-0.1.1.tar.gz,malicious,malregistry,True,True,threat-network-exfil-sysinfo
mastowrapper-1.0.4.tar.gz,malicious,malregistry,False,False,
aiohttp_openssl-3.13.1-py3-none-any.whl,malicious,malregistry,True,False,
selfmaskminehacked-10.51.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
custoqtkinter-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
airduq-1.0,malicious,datadog,True,True,threat-filesystem-read;threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links;threat-setup-network-in-install;threat-setup-suspicious-imports
esqpepmaskram-10.57.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tppaypalpytool-2.78.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
fairseqn-92.6,malicious,datadog,True,True,threat-network-exfil-sysinfo;threat-network-outbound-shady-links;threat-runtime-system-info
pipcryptographylibaryv2-1.2.0-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-filesystem-read;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-cryptomining;threat-process-download-exec;threat-runtime-keylogging;threat-runtime-screencapture
pygame-pytorch-3.4.19.tar.gz,malicious,malregistry,True,True,threat-runtime-obfuscation-base64exec;threat-setup-suspicious-imports
py-raminfo-10.77.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
curl_requester-0.1.0.tar.gz,malicious,malregistry,True,True,threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-download-exec
gamesuper-6.61.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
ezauto-0.0.1,malicious,datadog,True,True,threat-process-download-exec
coloramas-0.25-py3-none-any.tar.gz,malicious,malregistry,False,True,threat-network-exfil-messenger;threat-network-exfil-sysinfo;threat-network-exfiltration;threat-network-outbound-shady-links
tpmaskpullmine-9.84.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
bloxypy-0.1.9.tar.gz,malicious,malregistry,True,False,
visaload-9.62.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
maskcc-2.78.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
PyGawme-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
tpvisaintelint-5.92.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
py-cvposthydra-6.43.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqpushget-7.38.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
etheriumm-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
requesxs-1.0.0.tar.gz,malicious,malregistry,True,True,threat-setup-suspicious-imports
lab_3_package_438d82fc-0.1.2.tar.gz,malicious,malregistry,True,True,threat-network-exfiltration;threat-network-outbound-shady-links;threat-process-hooks;threat-setup-network-in-install;threat-setup-suspicious-imports
py-nvidiapipint-4.98.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqrenvidiaad-6.12.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfmaskcandyrandom-6.59.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tprandpymask-6.70.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
libpywintelrand-4.95.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
py-grandre-3.28.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqpysplitrand-10.33.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfproofurl-8.55.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
tpvervmsplit-9.12.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
vibrant-1.0.0,malicious,malregistry,True,False,
libcvverstr-9.65.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
mvdream_threestudio-912.6,malicious,datadog,True,True,threat-network-exfil-sysinfo;threat-network-outbound-shady-links
libgamemine-5.95.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
selfgametool-5.67.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqedpushvm-8.61,malicious,datadog,True,True,threat-process-download-exec;threat-process-powershell-encoded
libpushrandlib-9.51.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
controlpyw-1.26.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
esqosintpull-9.56.tar.gz,malicious,malregistry,True,True,threat-process-download-exec;threat-process-powershell-encoded
trimesh-5.0.0.tar.gz,benign,trimesh-5.0.0,False,True,threat-filesystem-read
st_tldraw-0.0.2.tar.gz,benign,pypi_random,False,False,
deal-4.24.6.tar.gz,benign,pypi_random,False,True,threat-process-download-exec
typora-git-uploader-1.0.0.tar.gz,benign,pypi_random,True,False,
cuda_bindings-13.3.1-cp310-cp310-manylinux_2_24_aarch64.manylinux_2_28_aarch64.whl,benign,cuda-bindings-13.3.1,False,False,
referencing-0.37.0.tar.gz,benign,referencing-0.37.0,False,False,
jiter-0.16.0.tar.gz,benign,jiter-0.16.0,False,False,
bst.pygasus.core-1.0.1.tar.gz,benign,pypi_random,False,False,
awscli-1.46.0.tar.gz,benign,awscli-1.46.0,False,True,threat-filesystem-read;threat-process-download-exec
opentelemetry_instrumentation_grpc-0.65b0.tar.gz,benign,opentelemetry-instrumentation-grpc-0.65b0,False,False,
google_cloud_bigtable-2.41.0.tar.gz,benign,google-cloud-bigtable-2.41.0,False,True,threat-runtime-environment-read
fredo_analyst-1.0.0.tar.gz,benign,pypi_random,True,True,threat-process-download-exec;threat-runtime-enumeration
pytest_socket-0.8.0.tar.gz,benign,pytest-socket-0.8.0,False,False,
google_cloud_appengine_logging-1.10.0.tar.gz,benign,google-cloud-appengine-logging-1.10.0,False,False,
h11-0.16.0.tar.gz,benign,h11-0.16.0,False,False,
is_it_slop_preprocessing-0.6.3.tar.gz,benign,pypi_random,False,False,
bleach-6.4.0.tar.gz,benign,bleach-6.4.0,False,True,threat-network-outbound-shady-links
jupyter_server-2.20.0.tar.gz,benign,jupyter-server-2.20.0,False,True,threat-network-exfiltration;threat-runtime-environment-read
marko-2.2.4.tar.gz,benign,marko-2.2.4,False,False,
mkdocs-1.6.1.tar.gz,benign,mkdocs-1.6.1,False,False,
pytest-runner-6.0.1.tar.gz,benign,pytest-runner-6.0.1,False,False,
shapeandshare_fingerprint_dataset-0.4.2.tar.gz,benign,pypi_random,False,False,
opentelemetry_instrumentation_urllib3-0.65b0.tar.gz,benign,opentelemetry-instrumentation-urllib3-0.65b0,False,False,
opentelemetry_exporter_gcp_trace-1.14.0.tar.gz,benign,opentelemetry-exporter-gcp-trace-1.14.0,False,False,
agent_client_protocol-0.12.1.tar.gz,benign,agent-client-protocol-0.12.1,False,False,
sagemaker_studio-1.1.30.tar.gz,benign,sagemaker-studio-1.1.30,False,False,
py_vapid-1.9.4.tar.gz,benign,py-vapid-1.9.4,False,True,threat-network-exfiltration
rfc3339_validator-0.1.4.tar.gz,benign,rfc3339-validator-0.1.4,False,False,
toons-0.7.0.tar.gz,benign,toons-0.7.0,False,False,
enum-compat-0.0.3.tar.gz,benign,enum-compat-0.0.3,False,False,
trafilatura-2.2.0.tar.gz,benign,trafilatura-2.2.0,False,False,
natsort-8.4.0.tar.gz,benign,natsort-8.4.0,False,False,
rlp-4.1.0.tar.gz,benign,rlp-4.1.0,False,False,
tree_sitter_c-0.24.2.tar.gz,benign,tree-sitter-c-0.24.2,False,False,
pyahocorasick-2.3.1.tar.gz,benign,pyahocorasick-2.3.1,False,False,
ghp-import-2.1.0.tar.gz,benign,ghp-import-2.1.0,False,False,
habluetooth-6.26.5.tar.gz,benign,habluetooth-6.26.5,False,False,
diffusers-0.39.0.tar.gz,benign,diffusers-0.39.0,False,True,threat-process-hooks;threat-runtime-obfuscation-unicode
arxiv-4.0.1.tar.gz,benign,arxiv-4.0.1,False,False,
bedrock_agentcore-1.21.0.tar.gz,benign,bedrock-agentcore-1.21.0,False,True,threat-filesystem-destruction;threat-filesystem-read;threat-runtime-enumeration;threat-runtime-environment-read;threat-runtime-obfuscation-steganography
neo4j-6.2.0.tar.gz,benign,neo4j-6.2.0,False,False,
opentelemetry_proto-1.44.0.tar.gz,benign,opentelemetry-proto-1.44.0,False,False,
zeep-4.3.3.tar.gz,benign,zeep-4.3.3,False,False,
nodeenv-1.10.0.tar.gz,benign,nodeenv-1.10.0,False,False,
langsmith-0.11.0.tar.gz,benign,langsmith-0.11.0,False,True,threat-filesystem-read;threat-process-memory;threat-process-spawn-silent;threat-runtime-environment-read;threat-runtime-obfuscation-steganography;threat-runtime-obfuscation-unicode
connexion-3.3.0.tar.gz,benign,connexion-3.3.0,False,False,
publicsuffix2-2.20191221.tar.gz,benign,publicsuffix2-2.20191221,False,True,threat-setup-network-in-install;threat-setup-suspicious-imports
pytest_benchmark-5.2.3.tar.gz,benign,pytest-benchmark-5.2.3,False,True,threat-filesystem-read;threat-process-download-exec;threat-runtime-system-info
nvidia_cuda_nvrtc_cu12-12.9.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl,benign,nvidia-cuda-nvrtc-cu12-12.9.86,False,False,
synchronicity-0.12.5.tar.gz,benign,synchronicity-0.12.5,False,False,
esflow-0.1.4.tar.gz,benign,pypi_random,True,False,
azure_mgmt_web-11.0.1.tar.gz,benign,azure-mgmt-web-11.0.1,False,False,
flatbuffers-25.12.19-py2.py3-none-any.whl,benign,flatbuffers-25.12.19,False,False,
appnope-0.1.4.tar.gz,benign,appnope-0.1.4,False,False,
dagster_postgres-0.29.18.tar.gz,benign,dagster-postgres-0.29.18,False,False,
mistralai-2.9.3.tar.gz,benign,mistralai-2.9.3,False,True,threat-runtime-environment-read
types_tabulate-0.10.0.20260508.tar.gz,benign,types-tabulate-0.10.0.20260508,False,False,
pathos-0.3.5.tar.gz,benign,pathos-0.3.5,False,True,threat-filesystem-autostart
boto-2.49.0.tar.gz,benign,boto-2.49.0,False,True,threat-filesystem-autostart
codeowners-0.9.0.tar.gz,benign,codeowners-0.9.0,False,False,
dynamic_enc-0.0.1.tar.gz,benign,pypi_random,False,False,
backcall-0.2.0.tar.gz,benign,backcall-0.2.0,False,False,
bluemaestro_ble-1.0.0.tar.gz,benign,pypi_random,False,False,
pinecone-9.1.0.tar.gz,benign,pinecone-9.1.0,False,False,
asn1crypto-1.5.1.tar.gz,benign,asn1crypto-1.5.1,False,True,threat-process-hooks
fastapi_sso-0.21.1.tar.gz,benign,fastapi-sso-0.21.1,False,True,threat-runtime-environment-read
user-agents-2.2.0.tar.gz,benign,user-agents-2.2.0,False,False,
grpclib-0.4.9.tar.gz,benign,grpclib-0.4.9,False,False,
types-redis-4.6.0.20241004.tar.gz,benign,types-redis-4.6.0.20241004,False,False,
pytest_metadata-3.1.1.tar.gz,benign,pytest-metadata-3.1.1,False,False,
azure_kusto_data-6.0.4.tar.gz,benign,azure-kusto-data-6.0.4,False,False,
xlrd-2.0.2.tar.gz,benign,xlrd-2.0.2,False,False,
pytest_forked-1.7.5.tar.gz,benign,pytest-forked-1.7.5,False,False,
pip-requirements-parser-32.0.1.tar.gz,benign,pip-requirements-parser-32.0.1,False,False,
llvmlite-0.49.0.tar.gz,benign,llvmlite-0.49.0,False,False,
google_genai-2.18.1.tar.gz,benign,google-genai-2.18.1,False,True,threat-runtime-environment-read;threat-runtime-obfuscation-steganography
alabaster-1.0.0.tar.gz,benign,alabaster-1.0.0,False,False,
textual_speedups-0.2.1.tar.gz,benign,textual-speedups-0.2.1,False,False,
typer-0.27.1.tar.gz,benign,typer-0.27.1,False,True,threat-filesystem-autostart
prefect-3.8.3.tar.gz,benign,prefect-3.8.3,False,True,threat-filesystem-read;threat-network-outbound-shady-links;threat-process-download-exec;threat-process-spawn-silent;threat-runtime-dynamic-loader;threat-runtime-environment-read;threat-runtime-obfuscation-unicode
apprise-1.12.0.tar.gz,benign,apprise-1.12.0,False,True,threat-filesystem-read;threat-network-exfil-messenger;threat-network-exfiltration;threat-network-outbound-shady-links
oauthlib-3.3.1.tar.gz,benign,oauthlib-3.3.1,False,True,threat-runtime-environment-read
wix-protos-proto-logoediticon-to-zoe-migration-server-proto-0.0.1.tar.gz,benign,pypi_random,False,False,
dbt_core-1.12.2.tar.gz,benign,dbt-core-1.12.2,False,True,threat-runtime-environment-read
tree_sitter-0.26.0.tar.gz,benign,tree-sitter-0.26.0,False,False,
unearth-0.18.3.tar.gz,benign,unearth-0.18.3,False,True,threat-runtime-environment-read
pyee-14.0.0.tar.gz,benign,pyee-14.0.0,False,False,
aws_resource_validator_freetier-2.0.3-py3-none-any.whl,benign,pypi_random,False,False,
z3_solver-5.1.0.0.tar.gz,benign,z3-solver-5.1.0.0,False,False,
ffmpeg-python-0.2.0.tar.gz,benign,ffmpeg-python-0.2.0,False,False,
gcloud_aio_storage-9.6.4.tar.gz,benign,gcloud-aio-storage-9.6.4,False,False,
jaxlib-0.11.0-cp312-cp312-macosx_11_0_arm64.whl,benign,jaxlib-0.11.0,False,False,
gitstorage-23.4.10.1.tar.gz,benign,pypi_random,True,False,
hypothesis-6.165.9.tar.gz,benign,hypothesis-6.165.9,False,False,
importlib_metadata-9.0.0.tar.gz,benign,importlib-metadata-9.0.0,False,False,
ruff-0.16.3.tar.gz,benign,ruff-0.16.3,False,True,threat-runtime-obfuscation-unicode
msgpack-1.2.1.tar.gz,benign,msgpack-1.2.1,False,False,
aws_resource_validator_rds_data-2.0.3-py3-none-any.whl,benign,pypi_random,False,False,
jinxed-2.1.0.tar.gz,benign,jinxed-2.1.0,False,False,
pyhamcrest-2.1.0.tar.gz,benign,PyHamcrest-2.1.0,False,False,
os2datasynth-0.0.1.tar.gz,benign,pypi_random,False,False,
docutils-0.23.tar.gz,benign,docutils-0.23,False,,
ruamel_yaml-0.19.1.tar.gz,benign,ruamel.yaml-0.19.1,False,True,threat-process-download-exec;threat-process-hooks;threat-runtime-dynamic-loader
imageio-2.37.4.tar.gz,benign,ImageIO-2.37.4,False,True,threat-runtime-screencapture
markdown-3.10.3.tar.gz,benign,Markdown-3.10.3,False,False,
amplitude_analytics-1.2.3.tar.gz,benign,amplitude-analytics-1.2.3,False,False,
jupyter_client-8.9.1.tar.gz,benign,jupyter-client-8.9.1,False,True,threat-runtime-enumeration
microsoft_kiota_serialization_json-1.11.9.tar.gz,benign,microsoft-kiota-serialization-json-1.11.9,True,False,
dais_sdk-0.11.3.tar.gz,benign,pypi_random,False,False,
httptools-0.8.0.tar.gz,benign,httptools-0.8.0,False,False,
categorical_cluster-0.3.tar.gz,benign,pypi_random,False,False,
networkx-3.6.1.tar.gz,benign,networkx-3.6.1,False,False,
audioread-3.1.0.tar.gz,benign,audioread-3.1.0,False,False,
djangorestframework_simplejwt-5.5.1.tar.gz,benign,djangorestframework-simplejwt-5.5.1,False,False,
applicationinsights-0.11.10.tar.gz,benign,applicationinsights-0.11.10,False,False,
django_timezone_field-7.2.2.tar.gz,benign,django-timezone-field-7.2.2,False,False,
openapi_spec_validator-0.9.0.tar.gz,benign,openapi-spec-validator-0.9.0,False,False,
cadwyn-7.2.0.tar.gz,benign,cadwyn-7.2.0,False,False,
lightgbm-4.7.0.tar.gz,benign,lightgbm-4.7.0,False,False,
Trakkr-0.1dev.tar.gz,benign,pypi_random,False,False,
ipython_pygments_lexers-1.1.1.tar.gz,benign,ipython-pygments-lexers-1.1.1,False,False,
