package,label,source,pyscan_malicious,clamav_malicious,clamav_signatures
cpuvirtual-9.25.tar.gz,malicious,malregistry,True,False,
libpipultraproof-1.76.tar.gz,malicious,malregistry,True,False,
paypalpyw-9.31.tar.gz,malicious,malregistry,True,False,
shellapp1-0.1.0,malicious,datadog,True,False,
urlcontrol-1.7.tar.gz,malicious,malregistry,True,False,
selfencodepinghydra-1.95.tar.gz,malicious,malregistry,True,False,
esqgrandcandyload-1.49.tar.gz,malicious,malregistry,True,False,
xolopwjaansvnd-0.0.0.tar.gz,malicious,malregistry,True,False,
artifact_lab_3_package_76a351f5-0.2.0-py3-none-any.zip,malicious,malregistry,True,False,
selfgamegamegui-1.66.tar.gz,malicious,malregistry,True,False,
artifact-lab-3-package-4c04b1a2-1.0.4.tar.gz,malicious,malregistry,True,False,
requests-tooolbelt-0.1.tar.gz,malicious,malregistry,True,False,
py-grandultralgtb-6.80.tar.gz,malicious,malregistry,True,False,
Axelo-0.0.0,malicious,datadog,True,False,
instantcolor-0.0.4.tar.gz,malicious,malregistry,True,False,
selfpepintel-7.2.tar.gz,malicious,malregistry,True,False,
selfcontrolrandom-9.71.tar.gz,malicious,malregistry,True,False,
esqsplithttposint-10.34.tar.gz,malicious,malregistry,True,False,
requests-toolbel-0.1.tar.gz,malicious,malregistry,True,False,
py-pongedgame-3.88,malicious,datadog,True,False,
selfrandomhackedstudy-5.83.tar.gz,malicious,malregistry,True,False,
polymarket_data-2.0.0.tar.gz,malicious,malregistry,True,False,
selfproofstudyvisa-3.92.tar.gz,malicious,malregistry,True,False,
paypalload-4.13.tar.gz,malicious,malregistry,True,False,
byted_rtc_robot_api_v2-0.0.45.15-py3-none-any.tar.gz,malicious,malregistry,False,False,
pipscrape-0.0.1-py3-none-any.tar.gz,malicious,malregistry,False,False,
selfrandomhackedstudy-5.83,malicious,datadog,True,False,
tucan-x-0.0.2.tar.gz,malicious,malregistry,True,False,
cryptowallet_safety-0.1.0-py3-none-any.whl,malicious,malregistry,True,False,
cryptofee-0.1.tar.gz,malicious,malregistry,True,False,
pvhttp-1.0.7.tar.gz,malicious,malregistry,True,False,
gamepip-2.8.tar.gz,malicious,malregistry,True,False,
bytekafka0_0_15-99.7,malicious,datadog,True,False,
py-proofrandvisa-8.21.tar.gz,malicious,malregistry,True,False,
lmaoalmost-0.69.tar.gz,malicious,malregistry,True,False,
Matplorlib-1.0.0.tar.gz,malicious,malregistry,True,False,
proxyfullscrapers-0.1.tar.gz,malicious,malregistry,False,False,
proxyscrapertool-0.0.2-py3-none-any.tar.gz,malicious,malregistry,False,False,
discord_request-1.0.0.tar.gz,malicious,malregistry,True,False,
libverpy-8.16.tar.gz,malicious,malregistry,True,False,
cyptocompare-0.1.tar.gz,malicious,malregistry,True,False,
fbdebug-0.1.tar.gz,malicious,malregistry,True,False,
src,malicious,datadog,True,False,
coulor-0.0.3-py3-none-any.tar.gz,malicious,malregistry,False,False,
ccver-9.2.tar.gz,malicious,malregistry,True,False,
py-xord-1.0.0.tar.gz,malicious,malregistry,True,False,
verpong-1.70.tar.gz,malicious,malregistry,True,False,
libig-0.1.tar.gz,malicious,malregistry,True,False,
esqrecpuvm-5.27,malicious,datadog,True,False,
simmplejson-0.1.tar.gz,malicious,malregistry,True,False,
pypackagescraping-1.1.0.tar.gz,malicious,malregistry,True,False,
py-nvidiaverhacked-3.3.tar.gz,malicious,malregistry,True,False,
vmpip-6.93.tar.gz,malicious,malregistry,True,False,
pythonbinance-0.1.1.tar.gz,malicious,malregistry,True,False,
neverinstallme-0.1.6,malicious,datadog,True,False,
scripts,malicious,datadog,False,False,
safepackage-1337.0.3.tar.gz,malicious,malregistry,True,False,
iou3d-2.1.tar.gz,malicious,malregistry,True,False,
pycord-slash-0.0.8.tar.gz,malicious,malregistry,True,False,
request-plus-2.31.0.tar.gz,malicious,malregistry,True,False,
pygennor-0.1.0.tar.gz,malicious,malregistry,False,False,
pycolorlibaryv1-1.0.0-py3-none-any.tar.gz,malicious,malregistry,False,False,
tppywproofcpu-7.81.tar.gz,malicious,malregistry,True,False,
tpsuperosintmask-10.59.tar.gz,malicious,malregistry,True,False,
slana-0.1.tar.gz,malicious,malregistry,True,False,
pypackscraper-1.0.5.tar.gz,malicious,malregistry,True,False,
beatuifulsoup-0.1.tar.gz,malicious,malregistry,True,False,
selfpywkillgui-4.33,malicious,datadog,True,False,
getgame-2.65.tar.gz,malicious,malregistry,True,False,
shoots_flutter-0.1.1.tar.gz,malicious,malregistry,True,False,
mastowrapper-1.0.4.tar.gz,malicious,malregistry,False,False,
aiohttp_openssl-3.13.1-py3-none-any.whl,malicious,malregistry,True,False,
selfmaskminehacked-10.51.tar.gz,malicious,malregistry,True,False,
custoqtkinter-1.0.0.tar.gz,malicious,malregistry,True,False,
airduq-1.0,malicious,datadog,True,False,
esqpepmaskram-10.57.tar.gz,malicious,malregistry,True,False,
tppaypalpytool-2.78.tar.gz,malicious,malregistry,True,False,
fairseqn-92.6,malicious,datadog,True,False,
pipcryptographylibaryv2-1.2.0-py3-none-any.tar.gz,malicious,malregistry,False,False,
pygame-pytorch-3.4.19.tar.gz,malicious,malregistry,True,False,
py-raminfo-10.77.tar.gz,malicious,malregistry,True,False,
curl_requester-0.1.0.tar.gz,malicious,malregistry,True,False,
gamesuper-6.61.tar.gz,malicious,malregistry,True,False,
ezauto-0.0.1,malicious,datadog,True,False,
coloramas-0.25-py3-none-any.tar.gz,malicious,malregistry,False,False,
tpmaskpullmine-9.84.tar.gz,malicious,malregistry,True,False,
bloxypy-0.1.9.tar.gz,malicious,malregistry,True,False,
visaload-9.62.tar.gz,malicious,malregistry,True,False,
maskcc-2.78.tar.gz,malicious,malregistry,True,False,
PyGawme-1.0.0.tar.gz,malicious,malregistry,True,False,
tpvisaintelint-5.92.tar.gz,malicious,malregistry,True,False,
py-cvposthydra-6.43.tar.gz,malicious,malregistry,True,False,
esqpushget-7.38.tar.gz,malicious,malregistry,True,False,
etheriumm-1.0.0.tar.gz,malicious,malregistry,True,False,
requesxs-1.0.0.tar.gz,malicious,malregistry,True,False,
lab_3_package_438d82fc-0.1.2.tar.gz,malicious,malregistry,True,False,
py-nvidiapipint-4.98.tar.gz,malicious,malregistry,True,False,
esqrenvidiaad-6.12.tar.gz,malicious,malregistry,True,False,
selfmaskcandyrandom-6.59.tar.gz,malicious,malregistry,True,False,
tprandpymask-6.70.tar.gz,malicious,malregistry,True,False,
libpywintelrand-4.95.tar.gz,malicious,malregistry,True,False,
py-grandre-3.28.tar.gz,malicious,malregistry,True,False,
esqpysplitrand-10.33.tar.gz,malicious,malregistry,True,False,
selfproofurl-8.55.tar.gz,malicious,malregistry,True,False,
tpvervmsplit-9.12.tar.gz,malicious,malregistry,True,False,
vibrant-1.0.0,malicious,malregistry,True,False,
libcvverstr-9.65.tar.gz,malicious,malregistry,True,False,
mvdream_threestudio-912.6,malicious,datadog,True,False,
libgamemine-5.95.tar.gz,malicious,malregistry,True,False,
selfgametool-5.67.tar.gz,malicious,malregistry,True,False,
esqedpushvm-8.61,malicious,datadog,True,False,
libpushrandlib-9.51.tar.gz,malicious,malregistry,True,False,
controlpyw-1.26.tar.gz,malicious,malregistry,True,False,
esqosintpull-9.56.tar.gz,malicious,malregistry,True,False,
trimesh-5.0.0.tar.gz,benign,trimesh-5.0.0,False,False,
st_tldraw-0.0.2.tar.gz,benign,pypi_random,False,False,
deal-4.24.6.tar.gz,benign,pypi_random,False,False,
typora-git-uploader-1.0.0.tar.gz,benign,pypi_random,True,False,
cuda_bindings-13.3.1-cp310-cp310-manylinux_2_24_aarch64.manylinux_2_28_aarch64.whl,benign,cuda-bindings-13.3.1,False,False,
referencing-0.37.0.tar.gz,benign,referencing-0.37.0,False,False,
jiter-0.16.0.tar.gz,benign,jiter-0.16.0,False,False,
bst.pygasus.core-1.0.1.tar.gz,benign,pypi_random,False,False,
awscli-1.46.0.tar.gz,benign,awscli-1.46.0,False,False,
opentelemetry_instrumentation_grpc-0.65b0.tar.gz,benign,opentelemetry-instrumentation-grpc-0.65b0,False,False,
google_cloud_bigtable-2.41.0.tar.gz,benign,google-cloud-bigtable-2.41.0,False,False,
fredo_analyst-1.0.0.tar.gz,benign,pypi_random,True,False,
pytest_socket-0.8.0.tar.gz,benign,pytest-socket-0.8.0,False,False,
google_cloud_appengine_logging-1.10.0.tar.gz,benign,google-cloud-appengine-logging-1.10.0,False,False,
h11-0.16.0.tar.gz,benign,h11-0.16.0,False,False,
is_it_slop_preprocessing-0.6.3.tar.gz,benign,pypi_random,False,False,
bleach-6.4.0.tar.gz,benign,bleach-6.4.0,False,False,
jupyter_server-2.20.0.tar.gz,benign,jupyter-server-2.20.0,False,False,
marko-2.2.4.tar.gz,benign,marko-2.2.4,False,False,
mkdocs-1.6.1.tar.gz,benign,mkdocs-1.6.1,False,False,
pytest-runner-6.0.1.tar.gz,benign,pytest-runner-6.0.1,False,False,
shapeandshare_fingerprint_dataset-0.4.2.tar.gz,benign,pypi_random,False,False,
opentelemetry_instrumentation_urllib3-0.65b0.tar.gz,benign,opentelemetry-instrumentation-urllib3-0.65b0,False,False,
opentelemetry_exporter_gcp_trace-1.14.0.tar.gz,benign,opentelemetry-exporter-gcp-trace-1.14.0,False,False,
agent_client_protocol-0.12.1.tar.gz,benign,agent-client-protocol-0.12.1,False,False,
sagemaker_studio-1.1.30.tar.gz,benign,sagemaker-studio-1.1.30,False,False,
py_vapid-1.9.4.tar.gz,benign,py-vapid-1.9.4,False,False,
rfc3339_validator-0.1.4.tar.gz,benign,rfc3339-validator-0.1.4,False,False,
toons-0.7.0.tar.gz,benign,toons-0.7.0,False,False,
enum-compat-0.0.3.tar.gz,benign,enum-compat-0.0.3,False,False,
trafilatura-2.2.0.tar.gz,benign,trafilatura-2.2.0,False,False,
natsort-8.4.0.tar.gz,benign,natsort-8.4.0,False,False,
rlp-4.1.0.tar.gz,benign,rlp-4.1.0,False,False,
tree_sitter_c-0.24.2.tar.gz,benign,tree-sitter-c-0.24.2,False,False,
pyahocorasick-2.3.1.tar.gz,benign,pyahocorasick-2.3.1,False,False,
ghp-import-2.1.0.tar.gz,benign,ghp-import-2.1.0,False,False,
habluetooth-6.26.5.tar.gz,benign,habluetooth-6.26.5,False,False,
diffusers-0.39.0.tar.gz,benign,diffusers-0.39.0,False,False,
arxiv-4.0.1.tar.gz,benign,arxiv-4.0.1,False,False,
bedrock_agentcore-1.21.0.tar.gz,benign,bedrock-agentcore-1.21.0,False,False,
neo4j-6.2.0.tar.gz,benign,neo4j-6.2.0,False,False,
opentelemetry_proto-1.44.0.tar.gz,benign,opentelemetry-proto-1.44.0,False,False,
zeep-4.3.3.tar.gz,benign,zeep-4.3.3,False,False,
nodeenv-1.10.0.tar.gz,benign,nodeenv-1.10.0,False,False,
langsmith-0.11.0.tar.gz,benign,langsmith-0.11.0,False,False,
connexion-3.3.0.tar.gz,benign,connexion-3.3.0,False,False,
publicsuffix2-2.20191221.tar.gz,benign,publicsuffix2-2.20191221,False,False,
pytest_benchmark-5.2.3.tar.gz,benign,pytest-benchmark-5.2.3,False,False,
nvidia_cuda_nvrtc_cu12-12.9.86-py3-none-manylinux2010_x86_64.manylinux_2_12_x86_64.whl,benign,nvidia-cuda-nvrtc-cu12-12.9.86,False,False,
synchronicity-0.12.5.tar.gz,benign,synchronicity-0.12.5,False,False,
esflow-0.1.4.tar.gz,benign,pypi_random,True,False,
azure_mgmt_web-11.0.1.tar.gz,benign,azure-mgmt-web-11.0.1,False,False,
flatbuffers-25.12.19-py2.py3-none-any.whl,benign,flatbuffers-25.12.19,False,False,
appnope-0.1.4.tar.gz,benign,appnope-0.1.4,False,False,
dagster_postgres-0.29.18.tar.gz,benign,dagster-postgres-0.29.18,False,False,
mistralai-2.9.3.tar.gz,benign,mistralai-2.9.3,False,False,
types_tabulate-0.10.0.20260508.tar.gz,benign,types-tabulate-0.10.0.20260508,False,False,
pathos-0.3.5.tar.gz,benign,pathos-0.3.5,False,False,
boto-2.49.0.tar.gz,benign,boto-2.49.0,False,False,
codeowners-0.9.0.tar.gz,benign,codeowners-0.9.0,False,False,
dynamic_enc-0.0.1.tar.gz,benign,pypi_random,False,False,
backcall-0.2.0.tar.gz,benign,backcall-0.2.0,False,False,
bluemaestro_ble-1.0.0.tar.gz,benign,pypi_random,False,False,
pinecone-9.1.0.tar.gz,benign,pinecone-9.1.0,False,False,
asn1crypto-1.5.1.tar.gz,benign,asn1crypto-1.5.1,False,False,
fastapi_sso-0.21.1.tar.gz,benign,fastapi-sso-0.21.1,False,False,
user-agents-2.2.0.tar.gz,benign,user-agents-2.2.0,False,False,
grpclib-0.4.9.tar.gz,benign,grpclib-0.4.9,False,False,
types-redis-4.6.0.20241004.tar.gz,benign,types-redis-4.6.0.20241004,False,False,
pytest_metadata-3.1.1.tar.gz,benign,pytest-metadata-3.1.1,False,False,
azure_kusto_data-6.0.4.tar.gz,benign,azure-kusto-data-6.0.4,False,False,
xlrd-2.0.2.tar.gz,benign,xlrd-2.0.2,False,False,
pytest_forked-1.7.5.tar.gz,benign,pytest-forked-1.7.5,False,False,
pip-requirements-parser-32.0.1.tar.gz,benign,pip-requirements-parser-32.0.1,False,False,
llvmlite-0.49.0.tar.gz,benign,llvmlite-0.49.0,False,False,
google_genai-2.18.1.tar.gz,benign,google-genai-2.18.1,False,False,
alabaster-1.0.0.tar.gz,benign,alabaster-1.0.0,False,False,
textual_speedups-0.2.1.tar.gz,benign,textual-speedups-0.2.1,False,False,
typer-0.27.1.tar.gz,benign,typer-0.27.1,False,False,
prefect-3.8.3.tar.gz,benign,prefect-3.8.3,False,False,
apprise-1.12.0.tar.gz,benign,apprise-1.12.0,False,False,
oauthlib-3.3.1.tar.gz,benign,oauthlib-3.3.1,False,False,
wix-protos-proto-logoediticon-to-zoe-migration-server-proto-0.0.1.tar.gz,benign,pypi_random,False,False,
dbt_core-1.12.2.tar.gz,benign,dbt-core-1.12.2,False,False,
tree_sitter-0.26.0.tar.gz,benign,tree-sitter-0.26.0,False,False,
unearth-0.18.3.tar.gz,benign,unearth-0.18.3,False,False,
pyee-14.0.0.tar.gz,benign,pyee-14.0.0,False,False,
aws_resource_validator_freetier-2.0.3-py3-none-any.whl,benign,pypi_random,False,False,
z3_solver-5.1.0.0.tar.gz,benign,z3-solver-5.1.0.0,False,False,
ffmpeg-python-0.2.0.tar.gz,benign,ffmpeg-python-0.2.0,False,False,
gcloud_aio_storage-9.6.4.tar.gz,benign,gcloud-aio-storage-9.6.4,False,False,
jaxlib-0.11.0-cp312-cp312-macosx_11_0_arm64.whl,benign,jaxlib-0.11.0,False,False,
gitstorage-23.4.10.1.tar.gz,benign,pypi_random,True,False,
hypothesis-6.165.9.tar.gz,benign,hypothesis-6.165.9,False,False,
importlib_metadata-9.0.0.tar.gz,benign,importlib-metadata-9.0.0,False,False,
ruff-0.16.3.tar.gz,benign,ruff-0.16.3,False,False,
msgpack-1.2.1.tar.gz,benign,msgpack-1.2.1,False,False,
aws_resource_validator_rds_data-2.0.3-py3-none-any.whl,benign,pypi_random,False,False,
jinxed-2.1.0.tar.gz,benign,jinxed-2.1.0,False,False,
pyhamcrest-2.1.0.tar.gz,benign,PyHamcrest-2.1.0,False,False,
os2datasynth-0.0.1.tar.gz,benign,pypi_random,False,False,
docutils-0.23.tar.gz,benign,docutils-0.23,False,False,
ruamel_yaml-0.19.1.tar.gz,benign,ruamel.yaml-0.19.1,False,False,
imageio-2.37.4.tar.gz,benign,ImageIO-2.37.4,False,False,
markdown-3.10.3.tar.gz,benign,Markdown-3.10.3,False,False,
amplitude_analytics-1.2.3.tar.gz,benign,amplitude-analytics-1.2.3,False,False,
jupyter_client-8.9.1.tar.gz,benign,jupyter-client-8.9.1,False,False,
microsoft_kiota_serialization_json-1.11.9.tar.gz,benign,microsoft-kiota-serialization-json-1.11.9,True,False,
dais_sdk-0.11.3.tar.gz,benign,pypi_random,False,False,
httptools-0.8.0.tar.gz,benign,httptools-0.8.0,False,False,
categorical_cluster-0.3.tar.gz,benign,pypi_random,False,False,
networkx-3.6.1.tar.gz,benign,networkx-3.6.1,False,False,
audioread-3.1.0.tar.gz,benign,audioread-3.1.0,False,False,
djangorestframework_simplejwt-5.5.1.tar.gz,benign,djangorestframework-simplejwt-5.5.1,False,False,
applicationinsights-0.11.10.tar.gz,benign,applicationinsights-0.11.10,False,False,
django_timezone_field-7.2.2.tar.gz,benign,django-timezone-field-7.2.2,False,False,
openapi_spec_validator-0.9.0.tar.gz,benign,openapi-spec-validator-0.9.0,False,False,
cadwyn-7.2.0.tar.gz,benign,cadwyn-7.2.0,False,False,
lightgbm-4.7.0.tar.gz,benign,lightgbm-4.7.0,False,False,
Trakkr-0.1dev.tar.gz,benign,pypi_random,False,False,
ipython_pygments_lexers-1.1.1.tar.gz,benign,ipython-pygments-lexers-1.1.1,False,False,
mlflow-3.15.1.tar.gz,benign,mlflow-3.15.1,False,False,
terminaltables-3.1.10.tar.gz,benign,terminaltables-3.1.10,False,False,
cairocffi-1.7.1.tar.gz,benign,cairocffi-1.7.1,False,False,
tzlocal-5.4.4.tar.gz,benign,tzlocal-5.4.4,False,False,
slowapi-0.1.10.tar.gz,benign,slowapi-0.1.10,False,False,
nvidia_cusparse_cu12-12.5.10.65-py3-none-manylinux2014_aarch64.manylinux_2_17_aarch64.whl,benign,nvidia-cusparse-cu12-12.5.10.65,False,False,
sklearn-rri-0.1.0.tar.gz,benign,pypi_random,False,False,
dqt-0.1.6.tar.gz,benign,pypi_random,False,False,
jpype1-1.7.1.tar.gz,benign,jpype1-1.7.1,False,False,
avbroadcast-0.8.0.tar.gz,benign,pypi_random,False,False,
ImageHash-4.3.2.tar.gz,benign,ImageHash-4.3.2,False,False,
azure-mgmt-datalake-store-0.5.0.zip,benign,azure-mgmt-datalake-store-0.5.0,False,False,
phantomtrace-1.0.6.tar.gz,benign,pypi_random,True,False,
ast_serialize-0.8.0.tar.gz,benign,ast-serialize-0.8.0,False,False,
pydata-google-auth-1.9.1.tar.gz,benign,pydata-google-auth-1.9.1,False,False,
prompt_toolkit-3.0.53.tar.gz,benign,prompt_toolkit-3.0.53,False,False,
google_cloud_orchestration_airflow-1.22.0.tar.gz,benign,google-cloud-orchestration-airflow-1.22.0,False,False,
json_repair-0.63.2.tar.gz,benign,json-repair-0.63.2,False,False,
mypy_boto3_lambda-1.43.60.tar.gz,benign,mypy-boto3-lambda-1.43.60,False,False,
seaborn-0.13.2.tar.gz,benign,seaborn-0.13.2,False,False,
sphinx-9.1.0.tar.gz,benign,Sphinx-9.1.0,False,False,
datasets-5.0.1.tar.gz,benign,datasets-5.0.1,False,False,
ply-3.11.tar.gz,benign,ply-3.11,False,False,
nvidia_curand-10.4.3.29-py3-none-manylinux_2_27_aarch64.whl,benign,nvidia-curand-10.4.3.29,False,False,
retrying-1.4.2.tar.gz,benign,retrying-1.4.2,False,False,
wirerope-1.0.0.tar.gz,benign,wirerope-1.0.0,False,False,
django-processengine-0.2.4.tar.gz,benign,pypi_random,False,False,
geographiclib-2.1.tar.gz,benign,geographiclib-2.1,False,False,
yapf-0.43.0.tar.gz,benign,yapf-0.43.0,False,False,
